temp_cels,MtCO2e,month,Year,month_num,recession
-5.9684,2887.82,Jan,1960,1,FALSE
-4.3957,2887.82,Feb,1960,2,FALSE
-2.4679,2887.82,Mar,1960,3,FALSE
6.00926,2887.82,Apr,1960,4,TRUE
12.2201,2887.82,May,1960,5,TRUE
17.1797,2887.82,Jun,1960,6,TRUE
20.0909,2887.82,Jul,1960,7,TRUE
18.8618,2887.82,Aug,1960,8,TRUE
14.9653,2887.82,Sep,1960,9,TRUE
8.33313,2887.82,Oct,1960,10,TRUE
0.50443,2887.82,Nov,1960,11,TRUE
-3.8728,2887.82,Dec,1960,12,TRUE
-5.0626,2877.37,Jan,1961,1,TRUE
-3.0718,2877.37,Feb,1961,2,TRUE
-0.1856,2877.37,Mar,1961,3,FALSE
4.51228,2877.37,Apr,1961,4,FALSE
11.8605,2877.37,May,1961,5,FALSE
17.5691,2877.37,Jun,1961,6,FALSE
19.6236,2877.37,Jul,1961,7,FALSE
19.1325,2877.37,Aug,1961,8,FALSE
14.0535,2877.37,Sep,1961,9,FALSE
7.36754,2877.37,Oct,1961,10,FALSE
-0.5166,2877.37,Nov,1961,11,FALSE
-6.8319,2877.37,Dec,1961,12,FALSE
-6.9831,2984,Jan,1962,1,FALSE
-2.6542,2984,Feb,1962,2,FALSE
-1.6118,2984,Mar,1962,3,FALSE
6.32772,2984,Apr,1962,4,FALSE
12.5833,2984,May,1962,5,FALSE
16.8671,2984,Jun,1962,6,FALSE
19.4977,2984,Jul,1962,7,FALSE
19.1604,2984,Aug,1962,8,FALSE
14.0006,2984,Sep,1962,9,FALSE
9.15727,2984,Oct,1962,10,FALSE
1.31862,2984,Nov,1962,11,FALSE
-4.0454,2984,Dec,1962,12,FALSE
-7.1997,3116.02,Jan,1963,1,FALSE
-3.3153,3116.02,Feb,1963,2,FALSE
0.77279,3116.02,Mar,1963,3,FALSE
6.19502,3116.02,Apr,1963,4,FALSE
12.7151,3116.02,May,1963,5,FALSE
16.8867,3116.02,Jun,1963,6,FALSE
19.8758,3116.02,Jul,1963,7,FALSE
18.8433,3116.02,Aug,1963,8,FALSE
15.5367,3116.02,Sep,1963,9,FALSE
10.1313,3116.02,Oct,1963,10,FALSE
0.14684,3116.02,Nov,1963,11,FALSE
-5.2889,3116.02,Dec,1963,12,FALSE
-5.6033,3252.76,Jan,1964,1,FALSE
-5.0453,3252.76,Feb,1964,2,FALSE
-2.3367,3252.76,Mar,1964,3,FALSE
5.43392,3252.76,Apr,1964,4,FALSE
11.8686,3252.76,May,1964,5,FALSE
16.9876,3252.76,Jun,1964,6,FALSE
20.3554,3252.76,Jul,1964,7,FALSE
18.3005,3252.76,Aug,1964,8,FALSE
14.1769,3252.76,Sep,1964,9,FALSE
8.16104,3252.76,Oct,1964,10,FALSE
0.68752,3252.76,Nov,1964,11,FALSE
-6.7031,3252.76,Dec,1964,12,FALSE
-5.8174,3388.19,Jan,1965,1,FALSE
-5.9817,3388.19,Feb,1965,2,FALSE
-0.9117,3388.19,Mar,1965,3,FALSE
6.57358,3388.19,Apr,1965,4,FALSE
11.8208,3388.19,May,1965,5,FALSE
16.1332,3388.19,Jun,1965,6,FALSE
19.3355,3388.19,Jul,1965,7,FALSE
18.249,3388.19,Aug,1965,8,FALSE
13.6544,3388.19,Sep,1965,9,FALSE
7.40961,3388.19,Oct,1965,10,FALSE
2.03245,3388.19,Nov,1965,11,FALSE
-3.7537,3388.19,Dec,1965,12,FALSE
-8.4615,3559.18,Jan,1966,1,FALSE
-5.2762,3559.18,Feb,1966,2,FALSE
-0.5505,3559.18,Mar,1966,3,FALSE
5.09674,3559.18,Apr,1966,4,FALSE
11.6418,3559.18,May,1966,5,FALSE
17.0809,3559.18,Jun,1966,6,FALSE
20.5006,3559.18,Jul,1966,7,FALSE
18.2556,3559.18,Aug,1966,8,FALSE
14.7508,3559.18,Sep,1966,9,FALSE
7.30403,3559.18,Oct,1966,10,FALSE
1.02228,3559.18,Nov,1966,11,FALSE
-5.0786,3559.18,Dec,1966,12,FALSE
-4.8645,3693.3,Jan,1967,1,FALSE
-4.5993,3693.3,Feb,1967,2,FALSE
1.34539,3693.3,Mar,1967,3,FALSE
6.32663,3693.3,Apr,1967,4,FALSE
11.0417,3693.3,May,1967,5,FALSE
16.9613,3693.3,Jun,1967,6,FALSE
19.4293,3693.3,Jul,1967,7,FALSE
18.7144,3693.3,Aug,1967,8,FALSE
14.4901,3693.3,Sep,1967,9,FALSE
7.77146,3693.3,Oct,1967,10,FALSE
0.83288,3693.3,Nov,1967,11,FALSE
-4.4632,3693.3,Dec,1967,12,FALSE
-6.4406,3828.31,Jan,1968,1,FALSE
-4.681,3828.31,Feb,1968,2,FALSE
1.52444,3828.31,Mar,1968,3,FALSE
5.54219,3828.31,Apr,1968,4,FALSE
